date,home,away,home_score,away_score,venue,prob_home,prediction,confidence,pair_games,predicted_historical_rate,home_season_rate,away_season_rate,form_agreement,high_confidence,hit,split
2025-04-04,日本ハム,オリックス,3,4,エスコンF,0.5540225264986867,0,0.44597747350131334,24,0.5,0.8,0.8,True,False,True,2025_rule_selection
2025-04-05,ソフトバンク,西武,3,6,PayPayドーム,0.5838046066175316,1,0.5838046066175316,26,0.6538461538461539,0.16666666666666666,0.2,False,False,False,2025_rule_selection
2025-04-05,ヤクルト,中日,2,0,神宮野球場,0.556154177100906,1,0.556154177100906,23,0.4782608695652174,0.4,0.4,True,False,True,2025_rule_selection
2025-04-05,ロッテ,楽天,1,0,ZOZOマリンスタジアム,0.5405865949330336,0,0.4594134050669664,24,0.45833333333333337,0.5,0.6,True,False,False,2025_rule_selection
2025-04-05,巨人,阪神,3,4,東京ドーム,0.5566671534948642,1,0.5566671534948642,25,0.48,0.6666666666666666,0.5,True,False,False,2025_rule_selection
2025-04-05,広島,DeNA,8,7,マツダスタジアム,0.5562508335415308,1,0.5562508335415308,24,0.5416666666666666,0.3333333333333333,0.6666666666666666,False,False,True,2025_rule_selection
2025-04-05,日本ハム,オリックス,1,11,エスコンF,0.5540146496173586,0,0.4459853503826414,25,0.52,0.6666666666666666,0.8333333333333334,True,False,True,2025_rule_selection
2025-04-06,ソフトバンク,西武,11,1,PayPayドーム,0.5853525711390355,1,0.5853525711390355,27,0.6296296296296297,0.14285714285714285,0.3333333333333333,False,False,True,2025_rule_selection
2025-04-06,ヤクルト,中日,5,6,神宮野球場,0.5428242934554804,0,0.45717570654451956,24,0.5,0.5,0.3333333333333333,False,False,True,2025_rule_selection
2025-04-06,ロッテ,楽天,0,5,ZOZOマリンスタジアム,0.5419221449819225,0,0.4580778550180775,25,0.43999999999999995,0.5714285714285714,0.5,False,False,True,2025_rule_selection
2025-04-06,巨人,阪神,0,1,東京ドーム,0.5549852892539215,0,0.44501471074607846,26,0.5384615384615384,0.5714285714285714,0.5714285714285714,True,False,True,2025_rule_selection
2025-04-06,広島,DeNA,7,6,マツダスタジアム,0.5465281443567227,0,0.4534718556432773,25,0.43999999999999995,0.42857142857142855,0.5714285714285714,True,False,False,2025_rule_selection
2025-04-06,日本ハム,オリックス,4,6,エスコンF,0.5586655241149697,1,0.5586655241149697,26,0.46153846153846156,0.5714285714285714,0.8571428571428571,False,False,False,2025_rule_selection
2025-04-08,オリックス,ソフトバンク,2,5,京セラドーム大阪,0.5318667987289142,0,0.4681332012710858,23,0.7391304347826086,0.875,0.25,False,False,True,2025_rule_selection
2025-04-08,楽天,日本ハム,2,5,楽天モバイル,0.5280033122609561,0,0.4719966877390439,21,0.5238095238095238,0.5714285714285714,0.5,False,False,True,2025_rule_selection
2025-04-08,西武,ロッテ,3,7,メットライフドーム,0.5348295482170995,0,0.4651704517829005,24,0.8333333333333334,0.2857142857142857,0.5,True,False,True,2025_rule_selection
2025-04-08,阪神,ヤクルト,0,1,甲子園球場,0.5518867822034783,0,0.4481132177965217,24,0.41666666666666663,0.625,0.42857142857142855,False,False,True,2025_rule_selection
2025-04-09,DeNA,巨人,3,6,横浜スタジアム,0.5286483731059709,0,0.4713516268940291,24,0.6666666666666667,0.5,0.5,True,False,True,2025_rule_selection
2025-04-09,オリックス,ソフトバンク,9,10,京セラドーム大阪,0.5350101496981261,0,0.4649898503018739,24,0.75,0.7777777777777778,0.3333333333333333,False,False,True,2025_rule_selection
2025-04-09,中日,広島,3,1,ナゴヤドーム,0.5339287794009443,0,0.4660712205990557,24,0.33333333333333337,0.42857142857142855,0.5,True,False,False,2025_rule_selection
2025-04-09,楽天,日本ハム,2,8,楽天モバイル,0.5306139619709258,0,0.4693860380290742,22,0.5454545454545454,0.5,0.5555555555555556,True,False,True,2025_rule_selection
2025-04-09,西武,ロッテ,2,0,県営大宮,0.5614220733688446,1,0.5614220733688446,25,0.16,0.25,0.5555555555555556,False,False,True,2025_rule_selection
2025-04-09,阪神,ヤクルト,3,5,甲子園球場,0.5491753722689477,0,0.45082462773105225,25,0.43999999999999995,0.5555555555555556,0.5,False,False,True,2025_rule_selection
2025-04-10,中日,広島,1,2,ナゴヤドーム,0.5409104215338656,0,0.4590895784661344,25,0.31999999999999995,0.5,0.4444444444444444,False,False,True,2025_rule_selection
2025-04-10,楽天,日本ハム,0,10,楽天モバイル,0.5244335792850368,0,0.47556642071496324,23,0.5652173913043479,0.4444444444444444,0.6,True,False,True,2025_rule_selection
2025-04-11,ロッテ,ソフトバンク,4,5,ZOZOマリンスタジアム,0.5286743770076593,0,0.4713256229923407,27,0.5925925925925926,0.5,0.4,False,False,True,2025_rule_selection
2025-04-11,広島,巨人,12,3,マツダスタジアム,0.5493683025580982,0,0.4506316974419018,22,0.5909090909090908,0.5,0.5555555555555556,True,False,False,2025_rule_selection
2025-04-11,日本ハム,西武,2,0,エスコンF,0.5719387690120576,1,0.5719387690120576,26,0.6153846153846154,0.6363636363636364,0.3333333333333333,True,False,True,2025_rule_selection
2025-04-11,楽天,オリックス,1,4,楽天モバイル,0.5368841207311008,0,0.4631158792688992,27,0.5925925925925926,0.4,0.7,True,False,True,2025_rule_selection
2025-04-11,阪神,中日,6,3,甲子園球場,0.5565292770818034,1,0.5565292770818034,22,0.6818181818181818,0.5,0.4444444444444444,True,False,True,2025_rule_selection
2025-04-12,DeNA,ヤクルト,5,4,横浜スタジアム,0.5359432880810333,0,0.4640567119189667,24,0.41666666666666663,0.4444444444444444,0.5555555555555556,True,False,False,2025_rule_selection
2025-04-12,ロッテ,ソフトバンク,0,8,ZOZOマリンスタジアム,0.5352642067272152,0,0.4647357932727848,28,0.6071428571428572,0.45454545454545453,0.45454545454545453,True,False,True,2025_rule_selection
2025-04-12,広島,巨人,1,0,マツダスタジアム,0.5514471098923565,0,0.44855289010764354,23,0.5652173913043479,0.5454545454545454,0.5,False,False,False,2025_rule_selection
