試合日,対戦相手,ホーム・ビジター,球場,ホークス得点,相手得点,通常勝敗,ホークスハンデ,相手ハンデ,補正後ホークス得点,補正後相手得点,ハンデ勝敗,AI予測,AI勝率,予測方式,通常的中,ハンデ的中
2026-07-21,オリックス,home,PayPayドーム,1.0,2.0,敗,,,,,対象外,勝,67.3,ウォークフォワード,False,
2026-07-22,オリックス,home,PayPayドーム,22.0,2.0,勝,,,,,対象外,勝,68.3,ウォークフォワード,True,
2026-07-23,オリックス,home,PayPayドーム,6.0,5.0,勝,,,,,対象外,勝,68.6,ウォークフォワード,True,
2026-07-24,西武,away,メットライフドーム,7.0,3.0,勝,,,,,対象外,勝,63.5,ウォークフォワード,True,
2026-07-25,西武,away,メットライフドーム,6.0,8.0,敗,,,,,対象外,勝,65.8,ウォークフォワード,False,
2026-07-26,西武,away,メットライフドーム,3.0,0.0,勝,,,,,対象外,勝,65.8,ウォークフォワード,True,
2026-08-01,楽天,away,楽天モバイル,5.0,0.0,勝,,,,,対象外,勝,64.2,ウォークフォワード,True,
2026-08-02,楽天,away,楽天モバイル,10.0,6.0,勝,,,,,対象外,勝,65.6,ウォークフォワード,True,
2026-08-04,日本ハム,home,京セラドーム大阪,1.0,0.0,勝,,,,,対象外,勝,65.5,ウォークフォワード,True,
2026-08-05,日本ハム,home,PayPayドーム,7.0,5.0,勝,,,,,対象外,勝,66.8,ウォークフォワード,True,
2026-08-06,日本ハム,home,PayPayドーム,2.0,6.0,敗,,,,,対象外,勝,57.4,ウォークフォワード,False,
2026-08-07,西武,away,メットライフドーム,5.0,2.0,勝,,,,,対象外,勝,64.1,ウォークフォワード,True,
2026-08-08,西武,away,メットライフドーム,1.0,2.0,敗,,,,,対象外,勝,66.1,ウォークフォワード,False,
2026-08-09,西武,away,メットライフドーム,5.0,0.0,勝,,,,,対象外,勝,65.6,ウォークフォワード,True,
2026-08-11,ロッテ,home,PayPayドーム,16.0,2.0,勝,,,,,対象外,勝,66.9,ウォークフォワード,True,
2026-08-12,ロッテ,home,PayPayドーム,10.0,4.0,勝,,,,,対象外,勝,70.1,ウォークフォワード,True,
2026-08-13,ロッテ,home,PayPayドーム,3.0,4.0,敗,,,,,対象外,勝,66.1,ウォークフォワード,False,
2026-08-14,楽天,home,PayPayドーム,2.0,5.0,敗,,,,,対象外,勝,67.7,ウォークフォワード,False,
