variant,games,accuracy,brier,logloss,home_predictions,away_predictions,selected_games,selected_accuracy,blend_linear,decision_threshold,confidence_threshold,accuracy_vs_prior,production_eligible,recommended_from_final_test
V4-B_future_leaky,596,58.89261744966443,0.24276164680802856,0.6784759014326761,338,258,81,65.4320987654321,0.9,0.5400000000000001,0.64,11.577181208053695,False,False
V4-C_rolling,596,54.194630872483216,0.24743059392057,0.6880160244699208,232,364,0,,0.9,0.5550000000000002,1.01,6.879194630872483,True,True
V4-A_prior,596,47.31543624161073,0.24783151474324505,0.6888625225176878,115,481,38,50.0,1.0,0.5850000000000002,0.61,0.0,True,False
